,Film ,Lead Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in Opening Weekend,Box Office Average per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Market Profitability,Opening Weekend,Oscar,Bafta,Source
,,,,,,,,($),($m),($m),($m),($m),% of budget recovered,($m),,,
y,The International ,,58,39,The Riddle,Action,2364,3947,25.500000000000000,34.70,60.20,50,1.2040,9.3,,,http://boxofficemojo.com/movies/?id=international.htm
y,The Invention of Lying ,,56,47,Love,Comedy,1707,4117,23.100000000000000,8.50,32.00,18.5,1.7297,7,,,http://www.the-numbers.com/movies/records/allbudgets.php
,The Lovely Bones ,Paramount,32,57,Tragedy,Drama,2563,6635,44.000000000000000,48.30,92.30,65,1.4200,17,,,http://www.the-numbers.com/movies/2009/LVBON.php
,The Men Who Stare at Goats ,Independent,52,43,Comedy,Comedy,2443,5201,32.400000000000000,15.80,48.20,24,2.0083,12.7,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,The Pink Panther 2 ,,12,47,Comedy,Adventure,3243,3573,41.600000000000000,34.20,75.90,59,1.2864,11.6,,,http://www.freebase.com/view/en/the_pink_panther_2
y,The Princess and the Frog ,,84,72,Metamorphosis,Animation,3434,7050,104.300000000000000,143.00,247.30,105,2.3552,24.2,,,http://www.the-numbers.com/movies/2009/FROGP.php
,The Proposal ,Disney,43,74,Love,Comedy,3056,11004,164.000000000000000,150.70,314.70,40,7.8675,33.6,,,http://www.the-numbers.com/movies/records/allbudgets.php
,The Road ,The Weinstein Company,75,65,Quest,Adventure,111,13534,7.900000000000000,6.50,14.30,25,0.5720,1.5,,,http://boxofficemojo.com/movies/?id=road08.htm
y,The Soloist ,,56,59,Quest,Drama,2024,4801,31.700000000000000,6.20,37.92,60,0.6320,9.7,,,http://www.the-numbers.com/movies/2009/SOLOS.php
y,The Stepfather,,12,48,Rescue,Mystery,2734,4236,29.100000000000000,2.13,31.20,20,1.5600,11.6,,,http://www.boxofficemojo.com/movies/?id=stepfather09.htm
,The Taking of Pelham 1 2 3 ,Sony,51,60,Rescue,Action,3074,7603,65.500000000000000,84.60,150.00,110,1.3636,4.7,,,http://www.the-numbers.com/movies/records/allbudgets.php
,The Time Traveler's Wife ,Paramount,38,65,Love,Drama,2988,6233,40.600000000000000,37.60,79.70,39,2.0436,18.6,,,http://www.the-numbers.com/movies/records/allbudgets.php
,The Twilight Saga: New Moon ,Summit,27,78,Love,Drama,4024,35497,293.800000000000000,410.30,704.20,50,14.0840,142.8,,,http://boxofficemojo.com/movies/?id=newmoon.htm
,The Ugly Truth ,Independent,14,68,Love,Comedy,2882,9579,88.900000000000000,116.40,205.30,38,5.4026,27.6,,,http://www.the-numbers.com/movies/records/allbudgets.php
,The Unborn,Relativity Media,11,39,Monster Force,Horror,2357,8405,35.900000000000000,40.00,76.50,16,4.7813,19.8,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,The Uninvited ,,31,52,Monster Force,Drama,2344,4405,28.600000000000000,14.10,42.70,,,10.3,,,http://www.the-numbers.com/movies/2009/UNVIT.php
,Transformers: Revenge of the Fallen ,Paramount,20,76,Revenge,Action,4234,25736,402.100000000000000,434.20,836.30,210,3.9824,109,,,http://www.the-numbers.com/movies/records/allbudgets.php
,Underworld: Rise of the Lycans ,Sony,30,68,Rivalry,Action,2942,7080,37.000000000000000,50.80,91.10,35,2.6029,20.8,,,http://boxofficemojo.com/movies/?id=underworld3.htm
,Up ,Disney,98,86,Journey and Return,Animation,3766,18085,293.000000000000000,434.00,727.10,175,4.1549,68.1,Animated,Animated,http://www.the-numbers.com/movies/2009/UP.php
,Up in the Air ,Paramount,90,76,Maturation,Drama,1895,5947,83.820000000000000,78.20,162.02,25,6.4808,11.2,,Adapted Screenplay,http://boxofficemojo.com/movies/?id=upintheair.htm
,Watchmen ,Warner Bros.,64,68,Sacrifice,Action,3611,15291,107.500000000000000,77.70,185.30,138,1.3428,55.2,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Whatever Works ,,50,63,Discovery,Comedy,9,29574,5.300000000000000,23.70,29.00,15,1.9333,0.26,,,http://en.wikipedia.org/wiki/Whatever_Works
,Where the Wild Things Are ,Warner Bros.,73,59,Journey and Return,Adventure,3735,8754,63.400000000000000,16.30,85.30,100,0.8530,32.7,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Whip It ,,84,73,Maturation,Drama,1721,2702,13.000000000000000,3.00,16.00,15,1.0667,4.7,,,http://www.boxofficemojo.com/movies/?id=whipit.htm
y,Whiteout ,,7,28,Pursuit,Action,2745,1791,10.300000000000000,1.90,12.20,35,0.3486,4.9,,,http://www.the-numbers.com/movies/records/allbudgets.php
,X-Men Origins: Wolverine ,Fox,37,72,Revenge,Action,4099,20751,179.900000000000000,193.20,373.10,150,2.4873,85.1,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Year One ,,14,31,Quest,Adventure,3022,6489,32.400000000000000,26.20,60.20,60,1.0033,19.6,,,http://www.the-numbers.com/movies/records/allbudgets.php
,Zombieland ,Sony,90,87,Monster Force,Action,3036,8147,49.200000000000000,42.50,93.30,23.6,3.9534,24.7,,,http://www.the-numbers.com/movies/records/allbudgets.php
