exclude,Film ,Lead Studio,Rotten Tomatoes %,Audience  score %,Story,Genre,Number of Theatres in US Opening Weekend,Box Office Average per US Cinema (Opening Weekend),Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Profitability,Opening Weekend,Oscar,Bafta,Source,,,,,
,,,,,,,,($),($m),($m),($m),($m),% of budget recovered,($m),,,,,,,,
,The Conspirator,Independant,56,65,Underdog,Drama,707,4960,11.54,2.67,14.21,25,56.84%,3.51,,,http://boxofficemojo.com/movies/?id=conspirator.htm,,,,,
,The Rite,Warner Bros,20,43,Monster Force,Horror,2985,4955,33.00,63.00,96.00,37,259.46%,14.80,,,http://boxofficemojo.com/movies/?id=rite.htm ,,,,,
,The Beaver,Summit Entertainment,62,57,Transformation,Drama,22,4890,0.97,5.40,6.37,21,30.33%,0.11,,,http://boxofficemojo.com/movies/?id=beaver.htm,,,,,
,Hanna,Universal,71,67,Quest,Action,2535,4880,40.26,23.52,63.78,30,212.60%,12.37,,,http://boxofficemojo.com/movies/?id=hanna.htm,,,,,
,The Lincoln Lawyer,Lionsgate,84,82,Fish Out Of Water,Drama,2707,4879,58.01,17.00,75.01,40,187.52%,13.21,,,http://boxofficemojo.com/movies/?id=lincolnlawyer.htm,,,,,
,Something Borrowed,Independant,?,?,Love,Romance,2904,4802,39.05,21.14,60.18,35,171.95%,13.95,,,http://boxofficemojo.com/movies/?id=somethingborrowed.htm,,,,,
,Soul Surfer,Sony,46,79,Underdog,Drama,2214,4789,43.85,0.41,44.27,18,245.93%,10.60,,,http://boxofficemojo.com/movies/?id=soulsurfer.htm,,,,,
,The Ides of March,Columbia,85,76,Transformation,Thriller,2199,4761,40.49,13.70,54.19,12.5,433.55%,10.47,,,http://latimesblogs.latimes.com/entertainmentnewsbuzz/2011/10/movie-projector-real-steel-ides-of-march.html,,,,,
,Footloose,Spyglass Entertainment,71,71,Transformation,Drama,2199,4761,51.16,10.90,62.05,24,258.55%,15.56,,,http://boxofficemojo.com/movies/?id=footloose2010.htm,,,,,
,Paul,Relativity,72,70,Comedy,Comedy,2802,4655,37.41,60.57,97.98,40,244.96%,13.04,,,http://boxofficemojo.com/movies/?id=paul.htm,,,,,
,The Change Up,Relativity Media,24,53,Metamorphosis,Comedy,2913,4645,37.08,33.75,70.83,52,136.22%,13.53,,,http://boxofficemojo.com/movies/?id=changeup.htm,,,,,
,Red Riding Hood,Warner Bros,11,41,Monster Force,Horror,3030,4622,37.66,51.50,89.16,42,212.29%,14.01,,,http://boxofficemojo.com/movies/?id=redridinghood.htm,,,,,
,30 Minutes or Less,Independant,43,48,Comedy,Comedy,2888,4616,37.05,3.49,40.55,28,144.81%,13.33,,,http://boxofficemojo.com/movies/?id=30minutesorless.htm,,,,,
,Hall Pass,Warner Bros,35,44,Temptation,Comedy,2950,4588,45.06,38.10,83.16,36,231.00%,13.54,,,http://boxofficemojo.com/movies/?id=hallpass.htm,,,,,
,A Very Harold and Kumar Christmas,Lionsgate,72,71,Comedy,Comedy,2875,4506,34.04,??,34.04,19,179.18%,12.95,,,http://boxofficemojo.com/movies/?id=haroldandkumar3.htm,,,,,
,Larry Crowne,Universal,34,46,Discovery,Drama,2973,4405,35.61,16.80,52.41,30,174.69%,13.10,,,http://boxofficemojo.com/movies/?id=larrycrowne.htm,,,,,
,The Mechanic,Independant,53,52,Revenge,Action,2703,4226,29.20,22.00,51.20,40,128.00%,11.40,,,http://boxofficemojo.com/movies/?id=mechanic.htm,,,,,
,Colombiana,Sony,28,55,Revenge,Action,2614,3982,36.67,24.30,60.97,40,152.41%,10.41,,,http://boxofficemojo.com/movies/?id=colombiana.htm,,,,,
,Drive,Independant,93,79,Rivalry,Thriller,2886,3929,34.68,32.33,67.01,15,446.71%,11.34,,,http://boxofficemojo.com/movies/?id=drive2011.htm,,,,,
,In Time,Regency Enterprises,38,55,The Riddle,Thriller,3122,3860,36.49,90.90,127.39,40,318.48%,12.05,,,http://boxofficemojo.com/movies/?id=now.htm,,,,,
,Anonymous,Relativity Media,46,66,Tragedy,Drama,265,3856,4.46,9.73,14.19,30,47.30%,1.02,,,http://boxofficemojo.com/movies/?id=anonymous.htm,,,,,
,The Eagle,Universal,39,43,Quest,Action,2296,3782,19.49,7.63,27.12,25,108.48%,8.68,,,http://boxofficemojo.com/movies/?id=eagleoftheninth.htm,,,,,
,Season Of The Witch,Relativity ,10,32,Monster Force,Action,2816,3769,24.80,66.80,91.60,40,229.00%,12.00,,,http://boxofficemojo.com/movies/?page=main&id=seasonofthewitch.htm,,,,,
,Arthur,Warner Bros,26,49,Sacrifice,Comedy,3276,3731,33.04,12.70,45.74,40,114.34%,12.22,,,http://boxofficemojo.com/movies/?id=arthur2011.htm,,,,,
,Arthur Christmas,Aardman Animations,92,82,Journey and Return,Animation,3376,3537,33.70,57.50,91.20,150,60.80%,12.07,,,http://latimesblogs.latimes.com/entertainmentnewsbuzz/2011/11/muppets-arthur-christmas-hugo-box-office.html,,,,,
,Spy Kids: All The Time in the World,Weinstein Company,22,40,Quest,Action,3295,3534,38.54,35.54,74.08,27,274.37%,11.64,,,http://boxofficemojo.com/movies/?id=spykids4.htm,,,,,
,50/50,Independant,93,93,Discovery,Comedy,2458,3517,34.90,1.62,36.51,8,456.39%,8.64,,,http://boxofficemojo.com/movies/?id=50fifty.htm,,,,,
,Abduction,Vertigo Entertainment,4,46,Maturation,Action,3118,3504,28.07,54.00,82.07,35,234.48%,10.93,,,http://boxofficemojo.com/movies/?id=abduction11.htm,,,,,
,Sanctum,Relativity Media,30,39,Quest,Action,2787,3390,23.20,85.40,108.60,30,362.00%,9.40,,,http://boxofficemojo.com/movies/?id=sanctum.htm,,,,,
,Your Highness,Universal,26,36,Comedy,Comedy,2769,3380,21.60,3.26,24.86,49.9,49.81%,9.36,,,http://boxofficemojo.com/movies/?id=yourhighness.htm,,,,,
,Conan the Barbarian,Lionsgate,22,34,Quest,Action,3015,3324,21.30,27.50,48.80,90,54.22%,10.02,,,http://boxofficemojo.com/movies/?id=conan3d.htm,,,,,
,Winnie The Pooh,Disney,91,79,Quest,Animation,2405,3267,26.69,6.46,33.15,30,110.51%,7.86,,,http://boxofficemojo.com/movies/?id=winniethepooh.htm,,,,,
,Killer Elite,Independant,25,48,Rivalry,Action,2986,3132,25.12,27.84,52.96,70,75.66%,9.35,,,http://boxofficemojo.com/movies/?id=killerelite.htm,,,,,
,Don't Be Afraid Of The Dark,Miramax Films,59,37,Monster Force,Horror,2760,3089,24.05,7.50,31.55,25,126.18%,8.53,,,http://boxofficemojo.com/movies/?id=dontbeafraidofthedark.htm,,,,,
,Dream House,Morgan Creek Productions,7,38,The Riddle,Horror,2661,3055,21.30,17.20,38.50,50,77.00%,8.13,,,http://boxofficemojo.com/movies/?id=dreamhouse.htm,,,,,
,Monte Carlo,20th Century Fox,38,50,Love,Romance,2473,3014,23.18,16.48,39.66,20,198.32%,7.45,,,http://boxofficemojo.com/movies/?id=montecarlo.htm,,,,,
,Shark Night 3D,Relativity,16,25,Escape,Horror,2806,2995,18.88,19.83,38.70,25,154.81%,8.40,,,http://boxofficemojo.com/movies/?id=shark3d.htm,,,,,
,Waiting For Forever,Independant,6,53,Love,Romance,3,2972,0.03,?,0.03,5,0.50%,0.01,,,http://boxofficemojo.com/movies/?id=waitingforforever.htm,,,,,
,One Day,Independant,37,54,Love,Romance,1719,2955,13.84,41.40,55.24,15,368.27%,5.08,,,http://boxofficemojo.com/movies/?id=oneday.htm,,,,,
,The Three Musketeers,Independant,24,48,Rivalry,Action,3017,2875,20.25,111.90,132.15,75,176.20%,8.67,,,http://boxofficemojo.com/movies/?id=threemusketeers11.htm,,,,,
,The Thing,Universal,36,52,Monster Force,Horror,2996,2835,16.93,10.50,27.43,38,72.18%,8.49,,,http://boxofficemojo.com/movies/?id=thing11.htm,,,,,
,Warrior,Lionsgate,83,93,Rivalry,Action,1869,2805,13.66,9.40,23.06,25,92.23%,5.24,,,http://boxofficemojo.com/movies/?id=warrior10.htm,,,,,
,Our Idiot Brother,The Weinstein Company,68,79,Comedy,Comedy,2555,2744,24.82,??,24.82,5,496.32%,,,,http://boxofficemojo.com/movies/?id=ouridiotbrother.htm,,,,,
,Apollo 18,Weinstein Company,23,31,Monster Force,Horror,3328,2615,17.69,7.88,25.56,5,511.24%,8.70,,,http://boxofficemojo.com/movies/?id=apollo18.htm,,,,,
,Fright Night,DreamWorks,75,68,Rivalry,Horror,3114,2477,18.30,18.80,37.10,30,123.67%,7.71,,,http://boxofficemojo.com/movies/?id=frightnight2011.htm,,,,,
